ID,Yield
ID_F9XXEXN2ADR2,539.98914
ID_SO3VW2X4QO93,419.0527
ID_UKUQ7JM8E894,559.7693
ID_QUISMWEZR2H4,340.7379
ID_25JGI455VKCZ,542.0786
ID_KQEAOXF3RPV6,305.05865
ID_FSNZCPW9HTD2,777.6889
ID_U2TOPOA0T40S,275.4862
ID_XVQLSUKOT04J,907.21295
ID_EAZAU6IW58PK,138.98659
ID_WI17R25TC2VU,320.6793
ID_OPR9MJWG40U7,1059.6793
ID_P9K9GAHC6FX6,619.25507
ID_SCAOUCCTJ75Z,163.0389
ID_MUP1OS8GZR5E,647.20825
ID_WVBSZ9VBC9HE,502.69147
ID_9MGH1WIKFBNB,458.9762
ID_3M2O3EPOM18C,1009.6503
ID_K9MOR4N1FWIB,648.38214
ID_VJPUPMSQARO5,915.6697
ID_7WIMK3DXIU3Q,804.77454
ID_6QXVH0EUS60J,937.20374
ID_CA9GH6Q53A1Q,219.49585
ID_94KO4EQ6TA3S,275.00864
ID_2WH3AXUWRS2A,279.50986
ID_LBS8TBC6QEF1,374.55527
ID_Y3YARETW8RAP,734.42126
ID_BY9JJAIKBRGP,396.97668
ID_0U5AM482W1DE,370.5683
ID_G0I28ORJC3OP,398.17355
ID_Q34ED4EMSA3R,627.38574
ID_LN3LXEG984XM,619.93713
ID_0JTIPPYRJND0,632.61633
ID_2MRD9I2X8UXB,167.3041
ID_KH1FHLUW2T4X,277.4376
ID_RFM5MWSIU1JX,325.06146
ID_IAH2UTMDVU8F,220.8645
ID_9SNP46T1GSJI,649.65826
ID_DSQ9ISYFW4DB,435.48993
ID_B8XYLC3NM6XD,181.72939
ID_HOG9LK4CTN8K,354.70624
ID_L3RTRS1QIY6D,317.36386
ID_03QW4RBYQEBK,333.23926
ID_ZJSYN3ZHXK5K,632.27997
ID_UPRM76SZ7IJJ,556.5296
ID_YB866N9RY5TU,461.01648
ID_4H0KNHPKF9BK,226.90875
ID_TOIT03A3WTTD,405.64227
ID_4P7NKCB6LMJ5,279.478
ID_1TIMGZJLRLWF,561.7346
ID_25E6065LQDON,562.45575
ID_SOB9B3H12POE,708.4488
ID_A8RF0GQGJF5H,537.61835
ID_GT36LGF8SM8K,479.26416
ID_E9OHGDA3U6DG,464.8945
ID_HXWHLMRE99CE,719.9356
ID_3VL9DLFRG5A3,369.95395
ID_OKPI3DR2ZQPJ,276.29953
ID_XZO6ECCAOC94,864.4201
ID_4X2UWYR6RIE2,545.13806
ID_1LVAHN6PZYBS,668.9431
ID_HRAJFKTPCNWQ,779.2773
ID_TK4H5NRKHOE8,291.93854
ID_9U0UBT1J8152,385.49387
ID_3EUKVYT37JOP,267.79645
ID_1499QWPPW755,594.9557
ID_ULWP3J0G860C,343.6738
ID_51FSB3P7RO7F,554.7144
ID_FHMVP6OM4GDX,922.0185
ID_2OICAUFVUF5S,236.79381
ID_ZGCFHIHAIC5U,407.54193
ID_SR592R346POT,784.92926
ID_IW7UUDAW8LI0,447.85007
ID_UNWZCF6L3JHJ,485.10715
ID_Z4FXX0BNPHCO,538.87787
ID_T18YB26T1R72,450.6925
ID_LXZWOINVI194,607.92535
ID_QNQJS14C9JJR,945.9974
ID_NTPIQUV3J2G6,715.7493
ID_PVQOEEDTISZ0,185.07845
ID_PNB65ASGG3U5,333.7531
ID_KWPXATBZDX9T,501.25967
ID_0G0F9TOR4IMI,891.26636
ID_FVLMABW5Y6X2,696.0513
ID_O2PL38IY50T5,478.71027
ID_CNG8Z00FPPMP,608.1323
ID_641DSHBH8JAF,748.9206
ID_Y14QXUKOFJ4H,305.40567
ID_DRP3WZV4BNIE,522.47485
ID_TMXV7UW39T80,226.06775
ID_0L8O49SS6MQM,503.97598
ID_UGTG0XQELY2U,418.984
ID_0YZYA9AXL9Z2,352.9788
ID_KNOK4V0IWVUO,150.27063
ID_YX4DF17Z25RV,425.69437
ID_2YAZXP3AEDVO,347.02664
ID_YNACZPCVVI09,901.0164
ID_75GYXJW1DYGX,294.0759
ID_YRCMJRFRTU2K,489.8135
ID_1L4WBTHTDQMP,617.36255
ID_RO0XF0TFLRG6,588.35986
ID_NJ7G0SAVDN1Q,442.46576
ID_UFPM6MLG1BJK,169.07463
ID_ULY51B6WQ9FV,764.88403
ID_CR6L4TL2VEEM,278.8983
ID_4YRSPS7X1V7Q,384.8092
ID_ILQ5YE78E0SD,293.25287
ID_WDNXY8YRA10N,398.75568
ID_WYK6LRWQ21ML,391.36328
ID_EBA4QUGDXB5I,932.09546
ID_2WCWAKQKRA74,628.35284
ID_FTSIEXKUER9Y,375.76346
ID_64BCOW7PEP3E,194.5151
ID_0N5TFB55JBOB,615.2891
ID_9AE1OJ45UFJ3,490.22974
ID_NJWAR6L7X4Q6,637.6587
ID_W8U6J9PKGGGI,448.88272
ID_WJUUIJMPNLHW,405.35638
ID_S7F4L5OW7OKD,738.5234
ID_Y0OX05BLLQPI,208.0716
ID_XJ7ULGKCALNF,618.0885
ID_8NU1PZBDI5C7,914.7009
ID_CPPN31R20CBA,608.0918
ID_D20Z6VEJBE6K,174.87698
ID_N6RSTF2IR5GL,452.0736
ID_DJBLGDPMS85M,133.05301
ID_34J19EEKSSHY,677.55444
ID_P8MQS1ERUQ9F,238.65414
ID_U07HHH2EG6K1,720.80853
ID_IKAOSO0CFKYZ,225.83685
ID_NHQ2WMFGNBS1,367.01062
ID_FRJ3P7XDG7OV,500.27087
ID_5N0W8ZFFAIQX,396.72528
ID_OFSHZ2KZ1LQ4,133.05301
ID_A6C1G6XUATUE,300.45496
ID_N99MP1180BJ5,211.56795
ID_D5F8SLVPMZKE,153.07187
ID_49QTISSSNQ0M,664.79944
ID_S1WHDBHNKLYO,326.26456
ID_9YE4VBW3W1WJ,367.58197
ID_7SWZRG2B52YI,308.12064
ID_41XNQZ8M4QXH,369.60504
ID_SIB0PJZQMRBO,314.55862
ID_M47IW492SXOP,180.08041
ID_MTUJW5V02DWQ,653.6758
ID_Y108HSDX00WC,858.34076
ID_QRD8JCO8QWCF,132.30534
ID_RIP1ZN0ST7I3,193.52187
ID_BPS356NV28J7,651.77026
ID_0KANA1KYEQKW,163.8182
ID_80MMCWDS27VC,559.9239
ID_CH1WWOXBV7L8,260.16922
ID_PM7YZSDTN1OI,572.0232
ID_FR4XH94DJW50,681.1663
ID_D1IDORABBOBP,400.43304
ID_0BE8BMWG3A68,523.40576
ID_RY2QD5TLB4US,326.985
ID_S8D99RRNCOMC,892.55597
ID_YZLW773BTIA3,320.03952
ID_FL8VHWG97QTI,592.99445
ID_JVLT86OR9T15,633.0548
ID_NBSTAXAZ24X0,822.545
ID_43VRMQQ5E60F,382.3284
ID_HI4ACMU7M13J,422.82587
ID_UI96L3AE8YXY,534.2146
ID_UXRI6OXKF50S,712.3416
ID_FW06NS2YA7QW,414.08096
ID_RA5OO0JVNOUF,594.6614
ID_EVGU94YQTZWM,194.77896
ID_GHANLFEJN9UW,162.13438
ID_HXBFX8X2DD7B,975.1832
ID_KUNLQSF5FM19,454.51334
ID_7XXH76413XNT,592.53314
ID_D58TIQKQLU7Q,275.94098
ID_W5CLRPVGFRKH,510.151
ID_A3Y0OIB0BE59,412.05664
ID_C74NLELOCNTS,824.3778
ID_2FIGN89QV44C,193.98274
ID_QN4PJSV2CGSJ,318.5581
ID_V5W6AZBTURWA,403.7402
ID_L6E0GOTVHSCD,607.1323
ID_Q95BUWXK8RM3,155.73538
ID_5TLXCFLTYF1F,412.2205
ID_GLBHSYJG9S5B,781.559
ID_3X3YHRC7IIN9,604.56146
ID_5H724YS64665,613.0005
ID_U4Z5RN88FCZM,574.2049
ID_05TGZGOMI6MF,405.97055
ID_0GCZV8RUSZK6,369.35052
ID_UV06K1FM1SB5,537.66785
ID_RCJZ3PORBWFV,191.73357
ID_W1NL5CU9VHQS,399.77017
ID_2WIYFQHMJPYD,798.78564
ID_BFFULEU6PVQ9,173.14374
ID_JN31K11BXQ0E,414.13632
ID_DS40FHVR9R7F,405.0474
ID_DNOT9DTVZ6MQ,630.00464
ID_Z58PO8MMX8YV,565.794
ID_NEYMBJKFHN1X,505.30783
ID_RND7MNSA6LWV,332.87033
ID_U407VXC7F9NZ,392.06415
ID_ES753BBA75GB,120.33784
ID_APRL4BTWWRW9,290.1481
ID_S909ZPBZ39II,304.131
ID_YYFP9SWEV0U5,832.7752
ID_25EBTESPBHGZ,684.53394
ID_W0W8TG7XRWE3,213.88753
ID_0FU2BPIOTMVD,632.94086
ID_OF817VW3STNX,481.43375
ID_7QATIJ9YSL1K,1173.5543
ID_LBPW7URC7BBW,513.88196
ID_7WYQ81JCM9V3,133.47665
ID_JGSVOGVN6522,604.191
ID_TOUB2GY1ZHXT,612.28644
ID_9AJCTSUQG7FZ,479.26416
ID_VKOZPEUVSDI8,647.0157
ID_UG5GQ68S58OW,409.6199
ID_4RB8XK2ZB1IR,736.6109
ID_Z3P4T6K6P2ED,107.88176
ID_VUGTKX63R5P0,430.53717
ID_XMF3Q64FMLBK,510.36026
ID_DTWCZ9G9C8WD,672.2866
ID_0MNYHJUPIOIT,342.50598
ID_ZGAL960JTO3R,419.71222
ID_PK835TJNER3I,609.8573
ID_KVGPYMSHB2WJ,341.8678
ID_OWIQYP0I1HGW,772.65704
ID_7RS2XDILJLBL,343.87393
ID_EDCLK08NMF0N,407.0166
ID_97Y87C3ANP5B,353.0908
ID_D3SKVOTTB4KQ,283.84018
ID_APFVFYM11UU0,976.2368
ID_TAIVU9LHBYZ8,426.8553
ID_NTR94XDRQIHZ,215.1671
ID_8QCOFS2HXOJQ,368.3457
ID_7ZZVZZH08UWF,409.47702
ID_9NGVV4V11YU2,446.8565
ID_5G8RKC18KLXV,410.75244
ID_BSVRMHEKDQKD,440.38263
ID_6Z12209FUIAT,641.5653
ID_IRBHYP3G7UXU,383.23975
ID_9PH4KNPDDVWS,641.84827
ID_S4G0N1TJEDUG,289.0267
ID_OP7NSDQGR6AE,268.30194
ID_32RIU94UJDHI,891.11206
ID_85WKQYHE0W5H,688.46466
ID_2T4I23J42NUP,384.1319
ID_LOJZM912S2TH,450.10376
ID_FQAR45VD4PQ5,638.1173
